type,name,default,night,group,usage,note,policy,source_path
color,pandawave_ambient_visualizer_active,#93D87E,—,"Aliases, selectors and independent colors",Provider,Ambient visualizer active,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_ambient_visualizer_idle,#2A3A28,—,"Aliases, selectors and independent colors",Provider,Ambient visualizer idle,public,core/designsystem/src/main/res/values/pandawave_colors.xml
fraction,pandawave_ambient_visualizer_idle_alpha,45%,—,Opacity fractions,Provider,Ambient visualizer idle alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
fraction,pandawave_ambient_visualizer_active_min_alpha,35%,—,Opacity fractions,Provider,Ambient visualizer active min alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
fraction,pandawave_ambient_visualizer_active_max_alpha,95%,—,Opacity fractions,Provider,Ambient visualizer active max alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
dimen,pandawave_ambient_artwork_min_size,240dp,—,Ambient and voice geometry,Provider,Ambient artwork min size,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_artwork_max_size,440dp,—,Ambient and voice geometry,Provider,Ambient artwork max size,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_height,328dp,—,Ambient and voice geometry,Provider,Ambient visualizer height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_bar_width,6dp,—,Ambient and voice geometry,Provider,Ambient visualizer bar width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_bar_gap,4dp,—,Ambient and voice geometry,Provider,Ambient visualizer bar gap,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_bar_radius,3dp,—,Ambient and voice geometry,Provider,Ambient visualizer bar radius,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_min_bar_height,8dp,—,Ambient and voice geometry,Provider,Ambient visualizer min bar height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_ambient_visualizer_max_bar_height,350dp,—,Ambient and voice geometry,Provider,350dp exceeds 328dp visualizer height; verify actual clipping,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
integer,pandawave_ambient_entry_duration_millis,350,—,Motion integers,Provider,Ambient entry duration millis,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_ambient_exit_duration_millis,200,—,Motion integers,Provider,Ambient exit duration millis,public,core/designsystem/src/main/res/values/pandawave_motion.xml
color,pandawave_button_colors,selector XML,—,"Aliases, selectors and independent colors",Declared only,Selector; no main-source selector consumer found,public,core/designsystem/src/main/res/color/pandawave_button_colors.xml
color,pandawave_color_error,@color/pandawave_theme_bamboo_grove_light_error,@color/pandawave_theme_moonlit_bamboo_dark_error,"Aliases, selectors and independent colors",Declared only,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_error,@color/pandawave_theme_bamboo_grove_light_on_error,@color/pandawave_theme_moonlit_bamboo_dark_on_error,"Aliases, selectors and independent colors",Declared only,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_primary,@color/pandawave_theme_bamboo_grove_light_on_primary,@color/pandawave_theme_moonlit_bamboo_dark_on_primary,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_primary_container,@color/pandawave_theme_bamboo_grove_light_on_primary_container,@color/pandawave_theme_moonlit_bamboo_dark_on_primary_container,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_secondary,@color/pandawave_theme_bamboo_grove_light_on_secondary,@color/pandawave_theme_moonlit_bamboo_dark_on_secondary,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_secondary_container,@color/pandawave_theme_bamboo_grove_light_on_secondary_container,@color/pandawave_theme_moonlit_bamboo_dark_on_secondary_container,"Aliases, selectors and independent colors",Declared only,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_surface,@color/pandawave_theme_bamboo_grove_light_on_surface,@color/pandawave_theme_moonlit_bamboo_dark_on_surface,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_on_surface_variant,@color/pandawave_theme_bamboo_grove_light_on_surface_variant,@color/pandawave_theme_moonlit_bamboo_dark_on_surface_variant,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_outline,@color/pandawave_theme_bamboo_grove_light_outline,@color/pandawave_theme_moonlit_bamboo_dark_outline,"Aliases, selectors and independent colors",Declared only,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_primary,@color/pandawave_theme_bamboo_grove_light_primary,@color/pandawave_theme_moonlit_bamboo_dark_primary,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
color,pandawave_color_primary_container,@color/pandawave_theme_bamboo_grove_light_primary_container,@color/pandawave_theme_moonlit_bamboo_dark_primary_container,"Aliases, selectors and independent colors",XML chain,Android configuration alias; not app-theme selection,public,core/designsystem/src/main/res/values/pandawave_colors.xml
